epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,77.5631,0.53224,0.41759,0.89002,0.81854,0.94968,0.94096,0.76521,0.67386,0.65565,1.10906,0.0014588,0.0014588,0.0014588
43,79.3452,0.50893,0.40354,0.87934,0.86102,0.89673,0.91522,0.80168,0.57596,0.5617,0.99937,0.0014456,0.0014456,0.0014456
44,81.1284,0.52773,0.40732,0.90252,0.82798,0.93421,0.90702,0.77657,0.58279,0.61981,1.00249,0.0014324,0.0014324,0.0014324
45,82.8849,0.51855,0.39817,0.88062,0.81303,0.85827,0.89538,0.79296,0.59329,0.61188,1.02497,0.0014192,0.0014192,0.0014192
46,84.6782,0.50341,0.42149,0.88565,0.72837,0.73684,0.77672,0.6529,0.93759,0.97765,1.35222,0.001406,0.001406,0.001406
47,86.4735,0.49037,0.40028,0.8869,0.82061,0.78253,0.87986,0.74015,0.69908,0.81515,1.08544,0.0013928,0.0013928,0.0013928
48,88.2718,0.46262,0.36825,0.87209,0.83321,0.92024,0.91839,0.78257,0.66927,0.64478,1.01705,0.0013796,0.0013796,0.0013796
49,90.086,0.47053,0.37671,0.86357,0.81294,0.93421,0.93694,0.79639,0.61962,0.62347,1.00032,0.0013664,0.0013664,0.0013664
50,91.8923,0.50213,0.41278,0.89504,0.80149,0.90317,0.9043,0.77889,0.67951,0.70895,1.0899,0.0013532,0.0013532,0.0013532
51,93.6976,0.46746,0.39576,0.8789,0.8954,0.94737,0.93743,0.82434,0.60295,0.58282,0.9938,0.00134,0.00134,0.00134
52,95.5307,0.52451,0.41198,0.8828,0.73244,0.82895,0.86003,0.7266,0.67928,0.77923,1.0783,0.0013268,0.0013268,0.0013268
53,97.334,0.48916,0.40279,0.90196,0.8587,0.96053,0.93918,0.81459,0.65533,0.55718,1.15817,0.0013136,0.0013136,0.0013136
54,99.1911,0.49771,0.37755,0.89422,0.90856,0.91516,0.92611,0.82523,0.59453,0.51513,1.00961,0.0013004,0.0013004,0.0013004
55,100.957,0.48002,0.36715,0.87685,0.86799,0.94737,0.93677,0.8309,0.53375,0.51017,0.96576,0.0012872,0.0012872,0.0012872
56,102.714,0.47435,0.36828,0.8828,0.93282,0.91356,0.96757,0.8393,0.5504,0.50295,0.99274,0.001274,0.001274,0.001274
