epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2186,1.24701,2.57629,2.25633,0.44173,0.42401,0.28903,0.20844,0.90455,2.29408,1.98673,0.000362927,0.000362927,0.000362927
2,18.6217,0.93943,1.58563,1.92344,0.37752,0.66963,0.46797,0.34467,0.81395,1.38992,1.98943,0.00072963,0.00072963,0.00072963
3,34.298,0.86135,1.33079,1.84783,0.42556,0.71543,0.5607,0.43535,0.70445,1.22296,1.87809,0.00109267,0.00109267,0.00109267
4,49.4532,0.81409,1.18864,1.78597,0.53584,0.60186,0.5947,0.46676,0.74958,1.06856,1.84539,0.0010945,0.0010945,0.0010945
5,63.2825,0.79874,1.09024,1.77463,0.55888,0.70274,0.65181,0.52319,0.66734,1.03928,1.8269,0.001089,0.001089,0.001089
6,75.4774,0.75451,1.05814,1.74949,0.64516,0.70946,0.70677,0.57959,0.6436,0.90861,1.82738,0.0010835,0.0010835,0.0010835
1,10.3064,1.24701,2.57629,2.25633,0.44173,0.42401,0.28903,0.20844,0.90455,2.29408,1.98673,0.000362927,0.000362927,0.000362927
2,19.1782,0.93943,1.58563,1.92344,0.37752,0.66963,0.46797,0.34467,0.81395,1.38992,1.98943,0.00072963,0.00072963,0.00072963
3,26.9928,0.86135,1.33079,1.84783,0.42556,0.71543,0.5607,0.43535,0.70445,1.22296,1.87809,0.00109267,0.00109267,0.00109267
4,34.6033,0.81409,1.18864,1.78597,0.53584,0.60186,0.5947,0.46676,0.74958,1.06856,1.84539,0.0010945,0.0010945,0.0010945
5,42.5875,0.79874,1.09024,1.77463,0.55888,0.70274,0.65181,0.52319,0.66734,1.03928,1.8269,0.001089,0.001089,0.001089
6,50.4502,0.75451,1.05814,1.74949,0.64516,0.70946,0.70677,0.57959,0.6436,0.90861,1.82738,0.0010835,0.0010835,0.0010835
7,57.9861,0.75075,1.00744,1.751,0.71366,0.70513,0.76451,0.61646,0.6263,0.87504,1.75145,0.001078,0.001078,0.001078
8,65.7493,0.73059,1.00145,1.73699,0.74981,0.68612,0.76837,0.62795,0.63438,0.85705,1.74946,0.0010725,0.0010725,0.0010725
