epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.80283,1.12997,2.4107,1.28269,0.44308,0.55647,0.40957,0.29786,0.88451,1.8842,1.15364,0.000362927,0.000362927,0.000362927
2,17.5365,0.94759,1.41543,1.13452,0.5216,0.58121,0.54128,0.36737,1.2226,2.00297,1.47517,0.00072963,0.00072963,0.00072963
3,26.2441,0.94114,1.25319,1.12162,0.472,0.61864,0.5126,0.34271,1.0816,1.66526,1.26299,0.00109267,0.00109267,0.00109267
4,34.7188,0.94033,1.15723,1.12414,0.63586,0.59492,0.64281,0.46206,0.94861,1.36964,1.21631,0.0010945,0.0010945,0.0010945
5,43.3686,0.92719,1.08929,1.10587,0.54077,0.59908,0.57707,0.41944,0.90473,1.31474,1.12343,0.001089,0.001089,0.001089
6,51.8344,0.90844,1.06984,1.10679,0.64388,0.53693,0.58414,0.40146,0.98585,1.35139,1.22658,0.0010835,0.0010835,0.0010835
7,60.2117,0.89314,1.00313,1.10485,0.68066,0.66922,0.69786,0.51469,0.84053,0.9622,1.09985,0.001078,0.001078,0.001078
8,68.6007,0.863,0.96261,1.07945,0.71662,0.70259,0.73974,0.55861,0.8292,0.99307,1.09893,0.0010725,0.0010725,0.0010725
9,77.1112,0.85884,0.90162,1.07668,0.69801,0.66924,0.71712,0.54221,0.92871,1.13629,1.17335,0.001067,0.001067,0.001067
10,85.5202,0.84663,0.86541,1.07593,0.77562,0.69768,0.7768,0.59434,0.8347,0.88773,1.05956,0.0010615,0.0010615,0.0010615
11,93.9486,0.8257,0.87503,1.04938,0.70348,0.69857,0.74661,0.56612,0.80841,0.93512,1.0572,0.00105601,0.00105601,0.00105601
12,102.311,0.80535,0.84197,1.0572,0.71644,0.63622,0.69323,0.53004,0.81122,0.99107,1.09549,0.00105051,0.00105051,0.00105051
13,110.754,0.83203,0.8619,1.06734,0.79013,0.72265,0.79208,0.61188,0.80146,0.82071,1.0652,0.00104501,0.00104501,0.00104501
14,119.179,0.806,0.79831,1.05772,0.76924,0.73103,0.78656,0.6092,0.79051,0.87885,1.07429,0.00103951,0.00103951,0.00103951
